"","t","onset","imported","domestic","total","imported_delay","domestic_delay","Rt","lower","upper"
"1",0,2020-01-03,0,0,0,0,0,NA,NA,NA
"2",1,2020-01-04,0,0,0,0,0,NA,NA,NA
"3",2,2020-01-05,0,0,0,0,0,NA,NA,NA
"4",3,2020-01-06,0,0,0,0,0,NA,NA,NA
"5",4,2020-01-07,0.0277439508051569,0.0250823232605717,0.0528262761693273,0.0277439519099507,0.0250823242593766,NA,NA,NA
"6",5,2020-01-08,0.0997893138656026,0.0941282788967018,0.19391760106825,0.0997893181398133,0.0941282829284371,NA,NA,NA
"7",6,2020-01-09,0.232148549446639,0.230824104329785,0.462972675115256,0.232148560146578,0.230824114968679,NA,NA,NA
"8",7,2020-01-10,0.336130529717297,0.357306653725862,0.693437217850628,0.336130546395665,0.357306671454963,NA,NA,NA
"9",8,2020-01-11,0.287914091700663,0.335531619230878,0.62344574424839,0.287914107086751,0.335531637161639,NA,NA,NA
"10",9,2020-01-12,0.134877832402474,0.188211875589539,0.323089726595742,0.134877840168833,0.188211886426909,NA,NA,NA
"11",10,2020-01-13,0.0320507700532314,0.102391336782393,0.13444211518047,0.0320507720426283,0.102391343137842,NA,NA,NA
"12",11,2020-01-14,0.0174609458837282,0.229143785905639,0.246604748297107,0.0174609470525653,0.229143801244542,NA,NA,NA
"13",12,2020-01-15,0.0820794948426776,0.67671104413511,0.758790593781657,0.0820795007708932,0.676711093010764,NA,NA,NA
"14",13,2020-01-16,0.320138334606044,1.37150137977624,1.69163984626956,0.320138359565362,1.3715014867042,NA,NA,NA
"15",14,2020-01-17,0.835645857037084,1.81085972965387,2.6465058095237,0.83564592739751,1.81085988212619,NA,NA,NA
"16",15,2020-01-18,1.44118658273589,1.60796226377843,3.04914912391294,1.44118671384892,1.60796241006401,NA,NA,NA
"17",16,2020-01-19,1.66605382556237,1.09140614930672,2.75746024605406,1.66605398941199,1.09140625664208,NA,NA,NA
"18",17,2020-01-20,1.33539499486684,0.694031707452449,2.02942691818059,1.33539513690701,0.694031781273587,NA,NA,NA
"19",18,2020-01-21,0.775970925104042,0.438340725278237,1.21431179014585,0.775971014415929,0.438340775729918,NA,NA,NA
"20",19,2020-01-22,0.341165940515894,0.266261478504198,0.607427494710547,0.341165983027978,0.26626151168257,NA,NA,NA
"21",20,2020-01-23,0.123007742591078,0.192173760886897,0.315181546019601,0.123007759194049,0.192173786825552,NA,NA,NA
"22",21,2020-01-24,0.0497322916481458,0.233724868334262,0.283457201446721,0.0497322989230205,0.233724902523701,NA,NA,NA
"23",22,2020-01-25,0.0410922531659534,0.440530722328133,0.481623051887927,0.0410922596839046,0.440530792204022,NA,NA,NA
"24",23,2020-01-26,0.0599508232809106,0.979013653827306,1.03896465590093,0.0599508335976927,0.979013822303233,NA,NA,NA
"25",24,2020-01-27,0.0831250175642841,2.13530639372869,2.21843182570322,0.0831250330923093,2.13530679261091,NA,NA,NA
"26",25,2020-01-28,0.111333857099703,4.081269495629,4.19260420336644,0.111333879688241,4.0812703236782,NA,NA,NA
"27",26,2020-01-29,0.217982542952322,6.28231778545991,6.50030176164068,0.217982591014529,6.28231917062615,NA,NA,NA
"28",27,2020-01-30,0.501799662537196,7.40122286074054,7.90302441799705,0.501799782841739,7.40122463515531,NA,NA,NA
"29",28,2020-01-31,0.900715709603374,6.52571898116218,7.42643662787479,0.900715944545818,6.52572068332897,NA,NA,NA
"30",29,2020-02-01,1.17827321581501,4.33004899186766,5.50832377180811,1.17827355039368,4.33005022141444,1.47308626982487,0.49,3.32
"31",30,2020-02-02,1.17311517286913,2.38958331547179,3.5626995903123,1.17311553572312,2.38958405458918,0.596251251261922,0.13,1.7
"32",31,2020-02-03,0.896673222647715,1.4940531863255,2.39072721495423,0.896673524941441,1.49405369001279,0.30613187047275,0.04,1.08
"33",32,2020-02-04,0.498029813927872,1.46317677151819,1.96120730653853,0.498029997042465,1.46317730949606,0.27406224102761,0.04,0.98
"34",33,2020-02-05,0.200222349738776,2.08239454249199,2.28261780812794,0.200222430077743,2.0823953780502,0.391967235363868,0.07,1.18
"35",34,2020-02-06,0.108532519925697,3.25646099859967,3.36499499294777,0.10853256748085,3.25646242546692,0.665546219478685,0.18,1.67
"36",35,2020-02-07,0.198780094001702,4.72211705513102,4.9208995052046,0.198780189175442,4.72211931602916,1.10080797756479,0.39,2.41
"37",36,2020-02-08,0.413211076212742,6.27054044362715,6.68375501895661,0.413211292539423,6.27054372641718,1.66927267131919,0.68,3.33
"38",37,2020-02-09,0.595116433814546,8.12825479229006,8.72337622309583,0.595116774713898,8.12825944838193,2.31608384710996,1.07,4.29
"39",38,2020-02-10,0.578028780382576,10.3198788163345,10.8979144319087,0.578029142923496,10.3198852889852,2.80333768509211,1.43,4.87
"40",39,2020-02-11,0.428208029394754,12.2933202846119,12.7215370564453,0.428208323666191,12.2933287327791,2.84787753332096,1.54,4.74
"41",40,2020-02-12,0.334880454730315,13.8888719533671,14.2237631257807,0.334880707064759,13.888882418716,2.58065543626234,1.46,4.18
"42",41,2020-02-13,0.327625121539534,15.4628727390482,15.7905109159564,0.327625392415524,15.4628855235409,2.28066669430643,1.33,3.61
"43",42,2020-02-14,0.331375454727323,17.1519554580968,17.4833467852322,0.331375755569678,17.1519710296625,2.04496836907727,1.23,3.17
